epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,238.479,1.23429,0.88036,1.43675,0.94978,0.95979,0.97679,0.67401,0.96361,2.37963,1.15707,0.00998905,0.00332968,0.00998905,0.00332968,0.00998905,0.00332968,0.00998905,0.00332968
2,449.831,1.14399,0.64736,1.336,0.94545,0.92158,0.96515,0.59673,1.13178,1.72576,1.33695,0.0197912,0.00659705,0.0197912,0.00659705,0.0197912,0.00659705,0.0197912,0.00659705
3,656.62,1.18955,0.73151,1.3676,0.90454,0.94633,0.96732,0.66767,0.98237,5.44786,1.22984,0.0293953,0.00979842,0.0293953,0.00979842,0.0293953,0.00979842,0.0293953,0.00979842
4,874.518,1.20531,0.74576,1.4023,0.93876,0.94812,0.97493,0.67807,0.94808,4.98974,1.17676,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1147.77,1.17064,0.69281,1.37834,0.9862,0.9268,0.98566,0.68305,0.97711,1.76653,1.19923,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1576.32,1.15188,0.66131,1.36274,0.96354,0.95973,0.98932,0.69816,0.94734,2.05068,1.20293,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1929.83,1.11163,0.61458,1.33663,0.97473,0.96628,0.98991,0.69539,0.98379,2.02748,1.20028,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,2132.81,1.10999,0.59858,1.33644,0.9788,0.96628,0.99039,0.70447,0.97009,1.86747,1.18462,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2336.78,1.07247,0.57068,1.30592,0.98145,0.96887,0.99171,0.7229,0.89619,1.95272,1.13071,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,2540.28,1.06132,0.55974,1.29175,0.9594,0.98184,0.99254,0.72481,0.89381,2.69819,1.13344,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,2743.59,1.04515,0.5452,1.2794,0.98281,0.96405,0.99322,0.70675,0.92275,2.35403,1.16655,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,2946.92,1.03337,0.53005,1.27759,0.98218,0.97017,0.99396,0.73993,0.86252,2.20504,1.1122,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,3150.7,1.0208,0.51814,1.2648,0.97891,0.96335,0.99173,0.74049,0.85518,2.78769,1.10066,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,3354.6,1.02085,0.51865,1.26895,0.98842,0.97276,0.99343,0.73541,0.85919,1.54029,1.1062,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,3558.27,1.01002,0.50145,1.25783,0.9894,0.9685,0.99336,0.75157,0.85701,1.04278,1.09323,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,3761.52,0.9898,0.49177,1.24326,0.98614,0.98444,0.99439,0.73784,0.87905,1.16796,1.11665,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,3965.65,0.98555,0.49446,1.24565,0.98818,0.97556,0.99376,0.74951,0.84802,1.90911,1.0866,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,4169.11,0.98073,0.48657,1.23443,0.98121,0.97017,0.99178,0.74666,0.83558,1.82959,1.08437,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,4372.63,0.97635,0.47931,1.2301,0.99213,0.97406,0.99423,0.74815,0.85836,1.20891,1.09506,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,4576.56,0.9674,0.47652,1.23345,0.98688,0.97526,0.99392,0.75105,0.83503,1.80083,1.09392,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,4779.29,0.96015,0.46858,1.22208,0.98446,0.97017,0.99387,0.74529,0.8473,1.84612,1.09478,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,4983,0.95548,0.46218,1.21712,0.98689,0.97668,0.99426,0.74819,0.83636,0.94356,1.1035,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,5186.34,0.94332,0.45344,1.20889,0.98686,0.97416,0.99383,0.75598,0.83131,1.24459,1.07317,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,5390.72,0.94149,0.44819,1.2106,0.98847,0.97536,0.99353,0.75555,0.8404,1.47051,1.09808,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,5594.35,0.93142,0.44767,1.19896,0.97884,0.97925,0.99365,0.74862,0.85127,1.85741,1.10858,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,5797.56,0.92166,0.43753,1.20118,0.97996,0.97276,0.99363,0.74797,0.84558,1.09979,1.09802,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,6001.12,0.9242,0.43632,1.19445,0.97686,0.98314,0.99399,0.75614,0.82741,1.36054,1.08639,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,6204.05,0.91356,0.43305,1.19053,0.98444,0.98703,0.99461,0.75916,0.83586,1.01232,1.09066,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,6408.21,0.90164,0.42754,1.18769,0.98769,0.98314,0.99428,0.75093,0.8285,1.13047,1.08307,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,6612.28,0.90397,0.42521,1.18783,0.98311,0.98147,0.99413,0.74534,0.85984,1.88092,1.10892,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,6816.1,0.89092,0.41947,1.17939,0.9833,0.98444,0.99417,0.75377,0.84449,0.92012,1.10423,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,7020.32,0.88244,0.41887,1.17015,0.98439,0.98146,0.99424,0.75309,0.83908,1.0555,1.1079,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,7224.01,0.87623,0.41113,1.168,0.98905,0.97795,0.99352,0.75164,0.83483,1.10636,1.09623,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,7428.08,0.87001,0.41307,1.16917,0.98495,0.98573,0.9942,0.76417,0.82599,1.01212,1.08482,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,7631.32,0.86473,0.40926,1.16546,0.9869,0.97713,0.99406,0.76947,0.82735,0.7582,1.09128,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,7835.07,0.86036,0.40385,1.15977,0.98828,0.98402,0.99446,0.76504,0.81951,1.12433,1.0752,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,8038.76,0.84477,0.39914,1.15208,0.98555,0.97665,0.99419,0.75591,0.83633,1.25378,1.09647,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,8242.3,0.84127,0.39705,1.14491,0.98195,0.98314,0.99397,0.74835,0.83756,1.61616,1.10678,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,8446.04,0.83649,0.39411,1.14255,0.98618,0.98314,0.9945,0.76364,0.83207,0.98352,1.10414,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,8649.86,0.82236,0.38919,1.13549,0.98098,0.97665,0.99354,0.75564,0.84264,1.12667,1.1007,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,8852.72,0.82715,0.38798,1.14171,0.98571,0.98435,0.99433,0.76482,0.84197,1.05423,1.10513,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,9055.81,0.81128,0.3806,1.12474,0.98694,0.9801,0.99447,0.76201,0.8325,1.13476,1.10091,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
